title,adult,id,original_language,popularity,release_date,vote_count,vote_average,primary_genre
House of Ga'a,False,1311550,en,124.707,2024-07-26,84,5.9,Action
Private Collections,False,46848,fr,124.648,1979-06-27,13,5.2,Drama
The Meg,False,345940,en,124.358,2018-08-09,7594,6.253,Action
Private Collections,False,46848,fr,135.337,1979-06-27,13,5.2,Drama
The Meg,False,345940,en,76.911,2018-08-09,7595,6.253,Action
Whiplash,False,244786,en,135.179,2014-10-10,15044,8.4,Drama
"Monsters, Inc.",False,585,en,130.301,2001-11-01,18372,7.845,Animation
Alice in Wonderland,False,12155,en,117.255,2010-03-03,13895,6.6,Family
Back to the Future,False,105,en,91.738,1985-07-03,19850,8.317,Adventure
Darkness of Man,False,1049574,en,103.58,2024-05-07,143,6.7,Action
Scream VI,False,934433,en,114.227,2023-03-08,2599,7.0,Horror
A Real Young Girl,False,1631,fr,172.049,1976-01-01,114,5.364,Drama
Anyone But You,False,1072790,en,116.688,2023-12-21,2165,7.0,Romance
Forrest Gump,False,13,en,127.617,1994-06-23,27392,8.471,Comedy
The Forge,False,1186532,en,90.801,2024-08-22,139,8.158,Drama
King of Killers,False,1024127,en,113.324,2023-09-01,132,6.5,Action
The Conjuring: The Devil Made Me Do It,False,423108,en,90.536,2021-05-25,5886,7.429,Horror
Sixty Minutes,False,1212073,de,82.831,2024-01-19,558,6.754,Action
Avengers: Age of Ultron,False,99861,en,105.017,2015-04-22,22897,7.273,Action
Beauty and the Beast: The Enchanted Christmas,False,13313,en,90.974,1997-11-11,1011,6.2,Animation
Finding Nemo,False,12,en,117.451,2003-05-30,19179,7.819,Animation
The Equalizer 3,False,926393,en,127.235,2023-08-30,2941,7.328,Action
Spirited Away,False,129,ja,126.665,2001-07-20,16471,8.5,Animation
V/H/S/Beyond,False,1190868,en,120.346,2024-09-20,135,6.874,Horror
The Lord of the Rings: The Two Towers,False,121,en,120.32,2002-12-18,21801,8.4,Adventure
Megamind vs. the Doom Syndicate,False,1239251,en,120.231,2024-03-29,138,4.804,Animation
Divergent,False,157350,en,120.158,2014-03-14,12732,6.9,Action
Cinderella's Curse,False,1130053,en,120.093,2024-05-31,39,6.269,Horror
The Boy and the Heron,False,508883,ja,119.983,2023-07-14,1790,7.473,Animation
Blade Runner 2049,False,335984,en,119.528,2017-10-04,13567,7.6,Science Fiction
Jackpot!,False,1094138,en,119.418,2024-08-13,555,6.422,Comedy
Good One,False,1122618,en,119.199,2024-08-09,16,6.0,Drama
Moana,False,1108427,en,119.181,2026-07-09,0,0.0,Adventure
World War Z,False,72190,en,118.853,2013-06-19,15283,6.817,Action
From Straight A's to XXX,False,441168,en,118.773,2017-02-11,141,5.8,Drama
The Notebook,False,11036,en,118.773,2004-06-25,11466,7.9,Romance
Fantastic Beasts: The Secrets of Dumbledore,False,338953,en,118.747,2022-04-06,4433,6.7,Fantasy
The Demon Disorder,False,1128941,en,118.58,2024-08-16,23,5.6,Horror
A Haunted House,False,139038,en,118.565,2013-01-11,1879,5.9,Comedy
Trolls Band Together,False,901362,en,118.036,2023-10-12,844,7.3,Animation
Tuhog,False,1188808,tl,117.991,2023-11-03,2,7.0,Drama
Apocalypto,False,1579,en,117.95,2006-12-07,5514,7.581,Action
Spider-Man 3,False,559,en,117.934,2007-05-01,14036,6.4,Action
MaXXXine,False,1023922,en,117.924,2024-07-04,760,6.4,Horror
Den of Thieves,False,449443,en,117.849,2018-01-18,2828,6.8,Action
Mom's Friend,False,387824,ko,117.703,2015-08-20,15,6.5,Drama
Raya and the Last Dragon,False,527774,en,117.6,2021-03-03,6753,7.847,Animation
Edge of Tomorrow,False,137113,en,117.569,2014-05-27,13747,7.6,Action
Prisoners,False,146233,en,117.375,2013-09-19,11702,8.098,Drama
Scream,False,4232,en,117.321,1996-12-20,6962,7.4,Crime
Rambo: First Blood Part II,False,1369,en,117.286,1985-05-21,3875,6.643,Action
The Pope's Exorcist,False,758323,en,117.243,2023-04-05,2705,7.0,Horror
Mayhem!,False,959092,fr,117.196,2023-06-28,163,6.7,Action
Kung Fu Games,False,1329912,en,117.185,2024-08-23,21,6.0,Action
Charlie and the Chocolate Factory,False,118,en,117.137,2005-07-13,15089,7.1,Adventure
The Addams Family,False,2907,en,116.932,1991-11-22,4543,7.052,Comedy
Spider-Man: Homecoming,False,315635,en,116.633,2017-07-05,21685,7.3,Action
Hotel Transylvania: Transformania,False,585083,en,116.599,2022-01-31,2739,7.074,Animation
Hellboy II: The Golden Army,False,11253,en,116.259,2008-07-11,5146,6.8,Fantasy
John Wick: Chapter 3 - Parabellum,False,458156,en,116.142,2019-05-15,10558,7.4,Action
Ratatouille,False,2062,en,115.868,2007-06-21,16970,7.824,Animation
Monkey Man,False,560016,en,115.811,2024-04-03,902,7.0,Action
The Hangover Part II,False,45243,en,115.798,2011-05-25,10399,6.5,Comedy
Fifty Shades Freed,False,337167,en,115.434,2018-01-17,7957,6.702,Drama
The Adventure of A.R.I.: My Robot Friend,False,682075,en,115.337,2022-01-13,14,6.9,Family
Justice League: Crisis on Infinite Earths Part Two,False,1209288,en,115.321,2024-04-22,183,7.016,Animation
Female War: A Nasty Deal,False,399905,ko,115.289,2015-09-27,25,5.1,Drama
The Prestige,False,1124,en,115.193,2006-10-17,15962,8.203,Drama
Creation of the Gods I: Kingdom of Storms,False,856289,zh,115.191,2023-07-15,365,7.1,Action
Captain America: Brave New World,False,822119,en,115.053,2025-02-12,0,0.0,Action
Me Before You,False,296096,en,114.934,2016-06-01,12340,7.9,Drama
Tenement,False,1219522,km,114.822,2024-10-27,9,6.333,Drama
The Revenant,False,281957,en,114.687,2015-12-25,18000,7.5,Western
The Ritual,False,433808,en,114.489,2017-10-11,2966,6.2,Horror
Sexual Chronicles of a French Family,False,112160,fr,114.315,2012-05-09,347,5.4,Comedy
Tangled,False,38757,en,114.249,2010-11-24,11400,7.6,Animation
Iron Man,False,1726,en,113.975,2008-04-30,26285,7.647,Action
Abigail,False,1111873,en,113.922,2024-04-16,1173,6.825,Horror
One Piece Film Red,False,900667,ja,113.744,2022-08-06,998,7.2,Animation
Tomorrowland,False,158852,en,113.49,2015-05-19,6931,6.3,Adventure
I Am Legend,False,6479,en,113.351,2007-12-12,15623,7.208,Drama
Slaughtered Vomit Dolls,False,36239,en,113.283,2006-02-14,101,4.2,Horror
Justice League: Crisis on Infinite Earths Part One,False,1155089,en,112.669,2024-01-08,298,7.5,Animation
Orion and the Dark,False,1139829,en,112.343,2024-02-01,490,6.585,Animation
Free Guy,False,550988,en,112.238,2021-08-11,8705,7.496,Comedy
3 Days in Malay,False,1152624,en,112.11,2023-08-11,27,5.2,Action
Midsommar,False,530385,en,112.034,2019-07-03,7053,7.163,Horror
Black Adam,False,436270,en,112.02,2022-10-19,6230,6.908,Action
Exodus: Gods and Kings,False,147441,en,111.696,2014-12-03,4510,5.9,Adventure
The First Omen,False,437342,en,111.406,2024-04-03,908,6.9,Horror
Retribution,False,762430,en,111.185,2023-08-23,1134,6.6,Thriller
The Witch. Revenge,False,1231828,uk,110.893,2024-08-22,11,6.2,Horror
"The Good, the Bad and the Ugly",False,429,it,110.89,1966-12-22,8585,8.5,Western
Pirates of the Caribbean: On Stranger Tides,False,1865,en,110.882,2011-05-15,13919,6.555,Adventure
Oddity,False,1216191,en,110.632,2024-07-19,259,6.9,Horror
The Pursuit of Happyness,False,1402,en,110.593,2006-12-14,9791,7.9,Drama
Colombiana,False,62835,en,110.558,2011-07-27,2561,6.6,Action
Invasión,False,1244880,es,110.411,2024-06-28,2,7.0,Science Fiction
20th Century Girl,False,851644,ko,110.281,2022-10-06,685,8.1,Romance
Batman Begins,False,272,en,110.173,2005-06-10,20880,7.71,Action
The Godfather Part II,False,240,en,110.075,1974-12-20,12406,8.6,Drama
Tarot,False,719221,en,110.067,2024-05-01,972,6.611,Horror
Hunting Games,False,1115396,en,109.896,2023-05-12,16,4.2,Action
Wrong Turn,False,630586,en,109.818,2021-01-26,1131,6.0,Horror
Black Panther: Wakanda Forever,False,505642,en,109.74,2022-11-09,6460,7.099,Action
The Boss Baby: Family Business,False,459151,en,109.7,2021-07-01,2514,7.37,Animation
Umjolo: The Gone Girl,False,1371540,en,109.623,2024-11-08,4,5.2,Romance
Uglies,False,748167,en,109.566,2024-09-12,593,6.0,Science Fiction
Scream 3,False,4234,en,109.442,2000-02-04,3559,6.0,Horror
The Lorax,False,73723,en,109.433,2012-03-01,3519,6.5,Animation
Wonderful Days,False,14258,ko,109.39,2003-07-17,155,6.1,Animation
Mean Girls,False,10625,en,109.301,2004-04-30,8719,7.211,Drama
Mr. Crocket,False,1317218,en,109.224,2024-09-26,50,5.1,Horror
Mulan,False,10674,en,109.21,1998-06-18,9619,7.9,Animation
Grown Ups 2,False,109418,en,109.204,2013-07-11,4286,6.142,Comedy
Poor Things,False,792307,en,109.136,2023-12-07,4119,7.737,Science Fiction
Land of Bad,False,969492,en,108.985,2024-02-09,1116,7.3,Action
Beautiful Wedding,False,1096342,en,108.965,2024-01-24,199,5.457,Romance
Shrek Forever After,False,10192,en,108.855,2010-05-16,7302,6.4,Comedy
It,False,346364,en,108.831,2017-09-06,18974,7.2,Horror
Atlas,False,614933,en,108.727,2024-05-23,1213,6.812,Science Fiction
Now You See Me,False,75656,en,108.241,2013-05-29,15420,7.339,Thriller
The Boy in the Striped Pyjamas,False,14574,en,108.083,2008-05-07,7099,7.8,Drama
Pulp Fiction,False,680,en,108.046,1994-09-10,27860,8.5,Thriller
The Green Mile,False,497,en,108.001,1999-12-10,17385,8.5,Fantasy
Legend,False,276907,en,107.92,2015-09-09,3828,7.059,Crime
Purple Hearts,False,762975,en,107.642,2022-07-29,2519,8.115,Romance
Vijay 69,False,1252457,hi,107.353,2024-11-08,9,7.333,Drama
Logan,False,263115,en,106.987,2017-02-28,19180,7.823,Action
Strange Darling,False,1029281,en,106.879,2024-08-22,205,7.007,Crime
The Princess and the Frog,False,10198,en,106.523,2009-12-08,5566,7.2,Animation
The Quest for Tom Sawyer's Gold,False,966576,en,106.447,2023-06-22,11,5.1,Adventure
Zack Snyder's Justice League,False,791373,en,106.356,2021-03-18,9947,8.143,Action
The Polar Express,False,5255,en,106.225,2004-11-10,6223,6.7,Animation
Cuckoo,False,869291,en,106.175,2024-08-02,159,5.6,Horror
The Hangover,False,18785,en,105.818,2009-06-02,16780,7.3,Comedy
Avatar,False,19995,en,105.37,2009-12-15,31447,7.6,Action
Hocus Pocus 2,False,642885,en,105.367,2022-09-27,1651,7.2,Fantasy
Alice in Terrorland,False,1174618,en,104.992,2023-12-26,162,6.0,Horror
Insurgent,False,262500,en,104.967,2015-03-18,9936,6.361,Action
The Princess Switch,False,556803,en,104.93,2018-11-16,2184,7.0,Romance
X-Men: Days of Future Past,False,127585,en,104.874,2014-05-15,15220,7.5,Action
Cars 3,False,260514,en,104.856,2017-06-15,5771,6.9,Family
Doctor Strange,False,284052,en,104.831,2016-10-25,22032,7.4,Action
HAIKYU!! The Dumpster Battle,False,1012201,ja,104.793,2024-02-16,133,7.3,Animation
Thor: Love and Thunder,False,616037,en,104.64,2022-07-06,7532,6.443,Fantasy
Turning Red,False,508947,en,104.637,2022-03-10,5197,7.4,Animation
Caddo Lake,False,863873,en,104.594,2024-10-09,303,7.31,Thriller
The Voyeur,False,27066,it,104.43,1994-01-27,201,5.5,Drama
Devara: Part 1,False,811941,te,104.263,2024-09-26,12,6.2,Action
Kung Fu Panda,False,9502,en,103.873,2008-06-04,11524,7.291,Action
The Amazing Spider-Man,False,1930,en,103.776,2012-06-23,17280,6.7,Action
The Princess Diaries 2: Royal Engagement,False,11130,en,103.774,2004-08-06,3199,6.687,Comedy
American Psycho,False,1359,en,103.733,2000-04-13,10931,7.401,Thriller
The First Purge,False,442249,en,103.342,2018-07-04,3964,6.0,Horror
Texas Chainsaw 3D,False,76617,en,103.228,2013-01-03,1652,5.478,Horror
The Terminator,False,218,en,103.219,1984-10-26,13114,7.7,Action
Toy Story 2,False,863,en,103.17,1999-10-30,13776,7.6,Animation
PAW Patrol: The Mighty Movie,False,893723,en,103.139,2023-09-21,447,7.1,Animation
Kingdom of Heaven,False,1495,en,103.009,2005-05-03,4234,7.0,Drama
Paddington 2,False,346648,en,102.921,2017-11-09,2332,7.458,Adventure
Inglourious Basterds,False,16869,en,102.747,2009-08-02,22167,8.2,Drama
Resident Evil: Welcome to Raccoon City,False,460458,en,102.565,2021-11-24,2429,5.97,Horror
La Hierba del Diablo,False,1255616,es,102.524,2024-03-14,1,3.0,Horror
Through My Window 3: Looking at You,False,1139566,es,102.387,2024-02-23,523,6.902,Romance
Scarface,False,111,en,102.375,1983-12-09,11767,8.2,Action
Operation Undead,False,1244361,th,102.341,2024-08-01,4,3.2,Horror
Pretty Woman,False,114,en,102.168,1990-03-23,8190,7.5,Romance
A Quiet Place Part II,False,520763,en,102.028,2021-05-21,6487,7.5,Science Fiction
Spirit: Stallion of the Cimarron,False,9023,en,102.028,2002-05-24,4543,7.699,Animation
Kraven the Hunter,False,539972,en,101.998,2024-12-11,0,0.0,Action
It Follows,False,270303,en,101.788,2015-02-04,6334,6.6,Horror
Ford v Ferrari,False,359724,en,101.732,2019-11-13,7903,8.0,Drama
It Chapter Two,False,474350,en,101.688,2019-09-04,8696,6.845,Horror
The Hobbit: The Desolation of Smaug,False,57158,en,101.573,2013-12-11,13084,7.6,Fantasy
The Departed,False,1422,en,101.517,2006-10-04,14812,8.163,Drama
Scream 2,False,4233,en,101.424,1997-12-12,4151,6.5,Horror
Thelma,False,1051891,en,101.409,2024-06-21,149,7.067,Action
The Roundup: No Way Out,False,955555,ko,101.363,2023-05-31,425,7.2,Action
Scary Movie 5,False,4258,en,101.291,2013-04-11,2768,4.8,Comedy
Thor: Ragnarok,False,284053,en,101.207,2017-10-02,20658,7.59,Action
Black Swan,False,44214,en,100.971,2010-12-03,14383,7.7,Drama
Fall,False,985939,en,100.958,2022-08-11,3873,7.174,Thriller
No Time to Die,False,370172,en,100.925,2021-09-29,6220,7.4,Action
The Arctic Convoy,False,983044,no,100.781,2023-12-25,55,6.7,War
Horizon: An American Saga - Chapter 1,False,932086,en,100.724,2024-06-26,333,7.0,Western
Deadpool 2,False,383498,en,100.706,2018-05-10,17873,7.493,Action
Immaculate,False,1041613,en,100.647,2024-03-20,1201,6.3,Horror
Freddy's Fridays,False,1140168,en,100.525,2023-10-13,13,5.2,Horror
Provocation,False,228794,it,100.511,1995-12-15,16,6.0,Drama
Talk to Me,False,1008042,en,100.492,2023-07-26,2940,7.2,Horror
The Wages of Fear,False,984324,fr,100.433,2024-03-28,430,6.235,Action
Snack Shack,False,1037113,en,100.429,2024-03-15,108,7.2,Comedy
Purpose of Tutoring,False,1231818,ko,100.415,2023-12-07,3,7.0,Romance
Flamin' Hot,False,626332,en,100.402,2023-03-11,659,8.0,Drama
Five Nights at Freddy's,False,507089,en,100.374,2023-10-25,4032,7.5,Horror
In a Violent Nature,False,1214509,en,100.358,2024-05-31,228,5.8,Horror
How to Train Your Dragon: The Hidden World,False,166428,en,100.332,2019-01-03,6342,7.8,Animation
Alita: Battle Angel,False,399579,en,100.16,2019-01-31,9072,7.2,Action
Apartment 7A,False,807339,en,100.103,2024-09-20,188,6.138,Horror
The Tearsmith,False,1127166,it,100.025,2024-04-03,763,6.5,Romance
The Conjuring 2,False,259693,en,99.958,2016-06-08,8332,7.3,Horror
Seed of Chucky,False,11249,en,99.898,2004-11-12,1597,5.458,Comedy
Beauty and the Beast,False,321612,en,99.852,2017-03-16,15384,7.0,Family
Rango,False,44896,en,99.837,2011-03-02,6419,6.9,Animation
Pride & Prejudice,False,4348,en,99.701,2005-09-16,7999,8.074,Drama
Descendants,False,277217,en,99.607,2015-07-31,2339,7.1,Family
Miss Peregrine's Home for Peculiar Children,False,283366,en,99.603,2016-09-27,9904,6.836,Fantasy
Casino Royale,False,36557,en,99.585,2006-11-14,10629,7.559,Adventure
The Emperor's New Groove,False,11688,en,99.565,2000-12-15,6679,7.6,Adventure
Sniper: The White Raven,False,966220,uk,99.305,2022-05-03,739,7.7,War
30 Days of Night,False,4513,en,99.26,2007-10-17,2749,6.4,Horror
Rambo,False,7555,en,99.256,2008-01-24,3861,6.7,Action
Top Gun,False,744,en,99.15,1986-05-16,8525,7.1,Action
Out of Exile,False,729165,en,98.907,2023-01-20,39,6.4,Thriller
The Strangers: Chapter 1,False,1010600,en,98.769,2024-05-15,375,5.9,Horror
Pirates of the Caribbean: Dead Men Tell No Tales,False,166426,en,98.735,2017-05-23,11908,6.652,Adventure
The Devil Wears Prada,False,350,en,98.604,2006-06-29,11966,7.4,Drama
The Matrix,False,603,en,98.576,1999-03-31,25586,8.2,Action
The Twilight Saga: Breaking Dawn - Part 2,False,50620,en,98.563,2012-11-13,8836,6.5,Adventure
John Wick: Chapter 2,False,324552,en,98.432,2017-02-08,12967,7.3,Action
First Blood,False,1368,en,98.332,1982-10-22,6208,7.5,Action
Jurassic World Dominion,False,507086,en,98.29,2022-06-01,6052,6.694,Adventure
The Platform,False,619264,es,98.226,2019-11-08,7061,6.977,Drama
Alvin and the Chipmunks,False,6477,en,98.109,2007-12-13,4407,5.8,Comedy
"Miraculous: Ladybug & Cat Noir, The Movie",False,496450,fr,97.761,2023-07-05,855,7.7,Animation
The Nun,False,439079,en,97.735,2018-09-05,6629,5.895,Horror
Indiana Jones and the Dial of Destiny,False,335977,en,97.689,2023-06-25,3347,6.6,Adventure
The Incredibles,False,9806,en,97.678,2004-10-27,17574,7.7,Action
Ted 2,False,214756,en,97.474,2015-06-25,7415,6.307,Comedy
Star Wars,False,11,en,97.428,1977-05-25,20540,8.2,Adventure
P.O. Box Tinto Brass,False,55580,it,97.35,1995-08-30,95,5.8,Comedy
Vikings: Battle of Heirs,False,1049948,en,97.211,2023-04-28,41,6.1,Action
Little Man,False,9072,en,97.175,2006-08-31,1706,5.9,Comedy
Wrong Turn 2: Dead End,False,13186,en,97.107,2007-08-25,1373,6.1,Horror
The Shack,False,345938,en,97.09,2017-03-03,2117,7.5,Drama
We're the Millers,False,138832,en,97.01,2013-08-07,8821,6.8,Comedy
The Hunger Games: The Ballad of Songbirds & Snakes,False,695721,en,96.996,2023-11-15,2689,7.07,Drama
Shaun of the Dead,False,747,en,96.881,2004-04-09,8398,7.5,Horror
Train to Busan,False,396535,ko,96.841,2016-07-20,7391,7.8,Horror
The Purge,False,158015,en,96.573,2013-05-31,8332,6.26,Science Fiction
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,False,635302,ja,96.509,2020-10-16,3927,8.2,Animation
A Friend's Wife Sold in Debt,False,1016007,ko,96.32,2022-06-30,4,5.8,Romance
Boyka: Undisputed IV,False,348893,en,96.206,2016-08-01,1299,7.2,Action
Late Night with the Devil,False,938614,en,96.01,2024-03-19,1111,7.2,Horror
Mission: Impossible - Fallout,False,353081,en,95.91,2018-07-13,8150,7.433,Action
The Northman,False,639933,en,95.637,2022-04-07,4250,7.1,Action
WALL·E,False,10681,en,95.362,2008-06-22,18698,8.1,Animation
Rocky,False,1366,en,95.172,1976-11-20,7813,7.8,Drama
Constantine,False,561,en,95.046,2005-02-08,7132,7.1,Fantasy
Real Steel,False,39254,en,94.955,2011-09-28,8259,7.0,Action
Iron Man 2,False,10138,en,94.886,2010-04-28,20887,6.843,Adventure
The Tomorrow War,False,588228,en,94.832,2021-09-03,3426,7.528,Action
Piece by Piece,False,1236419,en,94.666,2024-10-10,40,8.0,Animation
Percy Jackson & the Olympians: The Lightning Thief,False,32657,en,94.357,2010-02-01,7411,6.2,Adventure
Freelance,False,897087,en,94.211,2023-10-05,966,6.468,Action
The Instigators,False,1059064,en,94.196,2024-08-02,369,6.2,Crime
Troy,False,652,en,94.186,2004-05-13,10096,7.2,Adventure
Schindler's List,False,424,en,94.146,1993-12-15,15817,8.565,Drama
A House On Fire,False,1218193,ca,94.142,2024-06-28,35,6.829,Comedy
Super/Man: The Christopher Reeve Story,False,1128559,en,93.986,2024-09-21,55,8.745,Documentary
The Hobbit: An Unexpected Journey,False,49051,en,93.959,2012-12-12,18319,7.4,Adventure
The Help,False,50014,en,93.903,2011-08-09,8233,8.213,Drama
Despicable Me,False,20352,en,93.888,2010-07-08,15011,7.2,Animation
2012,False,14161,en,93.805,2009-10-10,11879,5.844,Action
Cars 2,False,49013,en,93.753,2011-06-11,7725,6.1,Animation
No Manches Frida 2: Paradise Lost,False,554596,es,93.73,2019-03-15,868,7.956,Comedy
The Smoke Master,False,950526,pt,93.697,2023-05-18,73,7.397,Action
Maleficent: Mistress of Evil,False,420809,en,93.657,2019-10-16,6071,7.307,Family
Rocky IV,False,1374,en,93.633,1985-11-21,4378,7.1,Drama
Grown Ups,False,38365,en,93.59,2010-06-24,6057,6.4,Comedy
The Equalizer 2,False,345887,en,93.485,2018-07-19,5303,6.755,Action
Dawn of the Planet of the Apes,False,119450,en,93.35,2014-07-08,11339,7.3,Science Fiction
After We Fell,False,744275,en,93.02,2021-09-01,2562,7.1,Romance
Blue Beetle,False,565770,en,92.989,2023-08-16,2584,6.8,Action
The Twilight Saga: Eclipse,False,24021,en,92.901,2010-06-23,8700,6.2,Adventure
Transformers: The Last Knight,False,335988,en,92.811,2017-06-16,6154,6.1,Action
The Book of Life,False,228326,en,92.692,2014-10-01,2671,7.543,Animation
Knights of the Zodiac,False,455476,en,92.619,2023-04-27,1121,6.409,Fantasy
The Wizard of Oz,False,630,en,92.599,1939-08-15,5501,7.6,Adventure
Duchess,False,1005076,en,92.496,2024-08-01,19,6.3,Action
Brokeback Mountain,False,142,en,92.418,2005-10-22,6917,7.8,Drama
Elyas,False,1154215,fr,92.197,2024-07-03,28,6.3,Action
Aliens,False,679,en,92.083,1986-07-18,9699,7.947,Action
Frozen II,False,330457,en,91.997,2019-11-20,9676,7.26,Family
Dungeons & Dragons: Honor Among Thieves,False,493529,en,91.895,2023-03-23,3550,7.357,Adventure
