title,adult,id,original_language,popularity,release_date,vote_count,vote_average,primary_genre
Your Name.,False,372058,ja,122.545,2016-08-26,11343,8.484,Animation
Harry Potter and the Deathly Hallows: Part 1,False,12444,en,110.785,2010-11-17,18969,7.75,Adventure
The Flash,False,298618,en,137.054,2023-06-13,4222,6.699,Adventure
Below Her Mouth,False,370663,en,150.256,2017-02-10,1170,6.8,Drama
Pirates of the Caribbean: At World's End,False,285,en,147.75,2007-05-19,14244,7.258,Adventure
Harry Potter and the Deathly Hallows: Part 2,False,12445,en,127.497,2011-07-12,20467,8.095,Fantasy
One Fast Move,False,1281826,en,124.687,2024-08-07,159,6.8,Action
Madame Web,False,634492,en,127.526,2024-02-14,1919,5.5,Action
No Voltees,False,1331344,es,94.753,2024-09-20,6,8.7,Horror
The Family Plan,False,1029575,en,115.165,2023-12-14,1364,7.272,Action
Good Mother 3,False,721173,ko,77.193,2019-08-26,15,5.7,Romance
Distant,False,605722,en,108.396,2024-07-12,23,6.5,Science Fiction
Plane,False,646389,en,103.321,2023-01-12,2206,6.958,Action
Cinderella,False,11224,en,80.209,1950-02-22,6671,7.043,Family
Godzilla Minus One,False,940721,ja,116.993,2023-11-03,2266,7.6,Science Fiction
Hijack '93,False,1364082,en,96.681,2024-10-24,17,5.4,Thriller
Blue Cave,False,1362101,tr,113.901,2024-10-17,51,6.853,Drama
Thor: The Dark World,False,76338,en,109.647,2013-10-30,17190,6.5,Action
Sicario,False,273481,en,76.57,2015-09-17,8513,7.4,Action
Temptation of Mother-in-Law,False,697251,ko,153.635,2019-02-22,2,4.5,Romance
In Your Dreams,False,1073125,tr,103.308,2023-02-03,83,7.319,Romance
Afraid,False,1062215,en,126.919,2024-08-28,248,6.2,Horror
Morbius,False,526896,en,126.716,2022-03-30,4289,6.005,Action
Under Paris,False,1001311,fr,126.706,2024-06-04,1160,6.006,Action
To Be Twenty,False,55685,it,126.635,1978-07-14,71,5.8,Comedy
Knock Knock,False,263472,en,126.623,2015-06-26,3157,5.4,Horror
Here,False,940139,en,126.449,2024-10-30,24,6.6,Drama
SPY x FAMILY CODE: White,False,1062807,ja,126.282,2023-12-22,448,7.026,Animation
The Croods: A New Age,False,529203,en,126.191,2020-11-25,3810,7.485,Animation
Female Ninjas Magic Chronicles 3: Sacred Book of Sexual Positions,False,360776,ja,126.189,1993-05-21,3,7.5,Action
The Next 365 Days,False,829560,pl,125.741,2022-08-18,1092,6.4,Romance
Salem's Lot,False,748230,en,125.676,2024-10-03,358,6.3,Horror
Minions: The Rise of Gru,False,438148,en,125.593,2022-06-29,3587,7.325,Animation
The Lion King,False,8587,en,125.512,1994-06-24,18217,8.3,Family
Sonic the Hedgehog,False,454626,en,125.398,2020-02-12,9461,7.3,Action
Black Panther,False,284054,en,125.218,2018-02-13,22095,7.382,Action
Imaginary,False,1125311,en,125.14,2024-03-06,489,6.0,Horror
Leggings Mania,False,1190586,ko,125.067,2023-07-13,1,5.0,Drama
